School Name,LONGITUDE,LATITUDE,School Type
YAN CHAI HOSPITAL LAW CHAN CHOR SI PRIMARY SCHOOL,113.96644,22.37486,PRIMARY
HONG KONG TAOIST ASSOCIATION THE YUEN YUEN INSTITUTE SHEK WAI KOK PRIMARY SCHOOL,114.1222,22.37461,PRIMARY
TAOIST CHING CHUNG PRIMARY SCHOOL (WU KING ESTATE),113.96525,22.37449,PRIMARY
PUI KIU COLLEGE,114.17334,22.37441,PRIMARY
KWAI-MING WU MEMORIAL SCHOOL OF THE PRECIOUS BLOOD,114.11905,22.37429,PRIMARY
SHUN TAK FRATERNAL ASSOCIATION LEE KAM PRIMARY SCHOOL,113.99601,22.3742,PRIMARY
PO LEUNG KUK WOMEN'S WELFARE CLUB WESTERN DISTRICT FUNG LEE PUI YIU PRIMARY SCHOOL,113.99531,22.37395,PRIMARY
HOLY CROSS LUTHERAN SCHOOL,114.1148,22.37318,PRIMARY
LUNG KONG WORLD FEDERATION SCHOOL LIMITED LAU TAK YUNG MEMORIAL PRIMARY SCHOOL,113.96853,22.37302,PRIMARY
TSUEN WAN CHIU CHOW PUBLIC SCHOOL,114.11447,22.37242,PRIMARY
SALESIAN YIP HON PRIMARY SCHOOL,114.14145,22.37237,PRIMARY
HOI PA STREET GOVERNMENT PRIMARY SCH,114.11508,22.37204,PRIMARY
AD&FD OF POK OI HOSPITAL MRS CHENG YAM ON MILLENNIUM SCHOOL,114.00401,22.37195,PRIMARY
TSUEN WAN GOVERNMENT PRIMARY SCHOOL,114.10101,22.3719,PRIMARY
"CHRISTIAN ALLIANCE H.C. CHAN PRIMARY SCHOOL OF THE KOWLOON TONG CHURCH OF THE CHINESE CHRISTIAN AND MISSIONARY ALLIANCE, HONG KONG",114.1872,22.37171,PRIMARY
GENERAL CHAMBER OF COMMERCE & INDUSTRY OF THE TUNG KUN DISTRICT CHEONG WONG WAI PRIMARY SCHOOL,114.18017,22.37168,PRIMARY
S.K.H. CHU OI PRIMARY SCHOOL,114.13966,22.37095,PRIMARY
HONG KONG BAPTIST CONVENTION PRIMARY SCHOOL,114.10031,22.3709,PRIMARY
IMMACULATE HEART OF MARY SCHOOL,114.17597,22.37089,PRIMARY
SI YUAN SCHOOL OF THE PRECIOUS BLOOD,114.12253,22.37057,PRIMARY
FREE METHODIST BRADBURY CHUN LEI PRIMARY SCHOOL,114.18119,22.37055,PRIMARY
THE CHURCH OF CHRIST IN CHINA CHUEN YUEN FIRST PRIMARY SCHOOL,114.11485,22.3703,PRIMARY
S.K.H. YAN LAAP MEMORIAL PRIMARY SCHOOL,114.12816,22.37002,PRIMARY
HONG KONG RED CROSS HOSPITAL SCHOOLS (PRIMARY SECTION),114.11947,22.36994,PRIMARY
BUDDHIST LAM BING YIM MEMORIAL SCHOOL (SPONSORED BY THE HONG KONG BUDDHIST ASSOCIATION),114.12327,22.36958,PRIMARY
SHEK LEI ST. JOHN'S CATHOLIC PRIMARY SCHOOL,114.14055,22.36924,PRIMARY
TSUEN WAN CATHOLIC PRIMARY SCHOOL,114.11914,22.36913,PRIMARY
SHA TIN GOVERNMENT PRIMARY SCHOOL,114.18605,22.36892,PRIMARY
KOWLOON CITY BAPTIST CHURCH HAY NIEN (YAN PING) PRIMARY SCHOOL,114.18208,22.36885,PRIMARY
EMMANUEL PRIMARY SCHOOL,114.05998,22.3683,PRIMARY
MARY OF PROVIDENCE PRIMARY SCHOOL,114.11619,22.36826,PRIMARY
THE CHURCH OF CHRIST IN CHINA CHUEN YUEN SECOND PRIMARY SCHOOL,114.12609,22.36816,PRIMARY
PO LEUNG KUK DR. JIMMY WONG CHI-HO (TIN SUM VALLEY) PRIMARY SCHOOL,114.17779,22.36796,PRIMARY
SHAM TSENG CATHOLIC PRIMARY SCHOOL,114.06047,22.36746,PRIMARY
SHEK LEI CATHOLIC PRIMARY SCHOOL,114.14187,22.36673,PRIMARY
CARMEL ALISON LAM PRIMARY SCHOOL,114.17421,22.36627,PRIMARY
SAHK B M KOTEWALL MEMORIAL SCHOOL (PRIMARY SECTION),114.12918,22.36585,PRIMARY
S.K.H. YAN LAAP PRIMARY SCHOOL,114.13039,22.36556,PRIMARY
ANFIELD SCHOOL,114.17954,22.36489,PRIMARY
SALESIAN YIP HON MILLENNIUM PRIMARY SCHOOL,114.13754,22.36427,PRIMARY
CNEC TA TUNG SCHOOL,114.13206,22.36413,PRIMARY
SHAK CHUNG SHAN MEMORIAL CATHOLIC PRIMARY SCHOOL,114.11321,22.36392,PRIMARY
ROSEBUD PRIMARY SCHOOL,114.11446,22.36369,PRIMARY
ROSEBUD PRIMARY SCHOOL,114.11446,22.36369,PRIMARY
ROSEBUD PRIMARY SCHOOL,114.11446,22.36369,PRIMARY
SIR ROBERT BLACK COLLEGE OF EDUCATION PAST STUDENTS' ASSOCIATION LEE YAT NGOK MEMORIAL SCHOOL,114.12295,22.36347,PRIMARY
CHOI JUN SCHOOL (PRIMARY SECTION),114.1768,22.36343,PRIMARY
THE EVANGELICAL LUTHERAN CHURCH OF HONG KONG KWAI SHING LUTHERAN PRIMARY SCHOOL,114.12642,22.36276,PRIMARY
CNEC LUI MING CHOI PRIMARY SCHOOL,114.1017,22.36251,PRIMARY
TUNG WAH GROUP OF HOSPITALS WONG SEE SUM PRIMARY SCHOOL,114.10185,22.36165,PRIMARY
S.K.H. CHU YAN PRIMARY SCHOOL,114.12104,22.36111,PRIMARY
CUHK FEDERATION OF ALUMNI ASSOCIATION THOMAS CHEUNG SCHOOL,114.17248,22.36079,PRIMARY
DELIA (MAN KIU) ENGLISH PRIMARY SCHOOL,114.10568,22.36061,PRIMARY
SAM SHUI NATIVES ASSOCIATION LAU PUN CHEUNG SCHOOL (PRIMARY SECTION),114.12309,22.36028,PRIMARY
HKSYC&IA CHAN NAM CHONG MEMORIAL SCHOOL (PRIMARY SECTION),114.12616,22.36014,PRIMARY
LUTHERAN SCHOOL FOR THE DEAF (PRIMARY SECTION),114.1253,22.35963,PRIMARY
BUDDHIST LIM KIM TIAN MEMORIAL PRIMARY SCHOOL,114.12897,22.35881,PRIMARY
S.K.H. HO CHAK WAN PRIMARY SCHOOL,114.09747,22.35751,PRIMARY
S.K.H. TSING YI CHU YAN PRIMARY SCHOOL,114.09526,22.3571,PRIMARY
